"GEOID","Row_num","Name","tree_No","tree_Yes","Decision_Tree","forest_No","forest_Yes","Random_Forest","bayes_No","bayes_Yes","Naive_Bayes","new_blocks_xgboost","XGBoost","Agree","Median_Family_Income","Transp_Public_betw2024","Transp_Walked","est_female_25_29","HH_Nonfamily","Transp_Walked_betw1519","Transp_betw2024","HH_Other","HH_Alone","est_male_25_29","CENTLAT","CENTLON"
"170311906023",2196,"Block Group 3, Census Tract 1906.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.796,0.204,0,1,6.31084526125301e-34,0,0.0265978537499905,0,0,51845,0,52,32,67,0,130,168,67,10,41.927537,-87.7721948
"170311907023",2197,"Block Group 3, Census Tract 1907.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.814,0.186,0,1,6.9665947326534e-42,0,0.0163969025015831,0,0,47773,20,0,91,89,0,89,184,89,118,41.924962,-87.7610808
"170311908003",2198,"Block Group 3, Census Tract 1908, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.784,0.216,0,1,9.55314260144097e-29,0,0.113984026014805,0,0,68846,13,0,106,68,0,96,9,58,54,41.9251018,-87.7512556
"170311911003",2199,"Block Group 3, Census Tract 1911, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.804,0.196,0,1,2.06539568644107e-38,0,0.0344761684536934,0,0,42250,20,0,26,56,0,20,59,42,0,41.9170485,-87.7510649
"170311913013",2200,"Block Group 3, Census Tract 1913.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.752,0.248,0,1,8.40282625042686e-33,0,0.038291197270155,0,0,63194,0,38,70,88,26,179,218,81,65,41.9201298,-87.7830304
"170312001003",2201,"Block Group 3, Census Tract 2001, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.772,0.228,0,1,2.60615840678386e-32,0,0.0414452105760574,0,0,56848,0,0,38,281,0,40,92,244,39,41.9352692,-87.7400911
"170312002003",2202,"Block Group 3, Census Tract 2002, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.798,0.202,0,1,4.89665499927684e-36,0,0.0344761684536934,0,0,53203,11,0,11,126,0,27,87,109,12,41.9258227,-87.739164
"170312004023",2203,"Block Group 3, Census Tract 2004.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.762,0.238,0,1,7.74475844250892e-34,0,0.0835277214646339,0,0,53964,0,34,133,67,0,70,122,35,104,41.9216908,-87.7300915
"170310202003",2204,"Block Group 3, Census Tract 202, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.77,0.23,0,1,3.94287972865276e-33,0,0.167013198137283,0,0,112566,0,0,78,60,0,186,97,45,0,42.0174162,-87.7041657
"170310203013",2205,"Block Group 3, Census Tract 203.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.802,0.198,0,1,3.18316191681985e-33,0,0.123745933175087,0,0,82896,0,36,84,99,0,35,42,79,18,42.0084045,-87.7021505
