cal_date,holiday,holiday name,cubs,sox,bears,hawks,temp,precip
6/23/2020,0,,0,0,0,0,70,0.005026882
6/24/2020,0,,0,0,0,0,70,0.005026882
6/25/2020,0,,0,0,0,0,70,0.005026882
6/26/2020,0,,0,0,0,0,70,0.005026882
6/27/2020,0,,0,0,0,0,70,0.005026882
6/28/2020,0,,0,0,0,0,70,0.005026882
6/29/2020,0,,0,0,0,0,70,0.005026882
6/30/2020,0,,0,0,0,0,70,0.005026882
7/1/2020,0,,0,0,0,0,70,0.005026882
7/2/2020,0,,0,0,0,0,80,0.005026882
7/3/2020,0,,0,0,0,0,80,0.005026882
7/4/2020,1,Fourth of July,0,0,0,0,80,0.005026882
7/5/2020,0,,0,0,0,0,80,0.005026882
7/6/2020,0,,0,0,0,0,80,0.005026882
7/7/2020,0,,0,0,0,0,80,0.005026882
7/8/2020,0,,0,0,0,0,80,0.005026882
7/9/2020,0,,0,0,0,0,80,0.005026882
7/10/2020,0,,0,0,0,0,80,0.005026882
7/11/2020,0,,0,0,0,0,80,0.005026882
7/12/2020,0,,0,0,0,0,80,0.005026882
7/13/2020,0,,0,0,0,0,80,0.005026882
7/14/2020,0,,0,0,0,0,80,0.005026882
7/15/2020,0,,0,0,0,0,80,0.005026882
7/16/2020,0,,0,0,0,0,80,0.005026882
7/17/2020,0,,0,0,0,0,80,0.005026882
7/18/2020,0,,0,0,0,0,80,0.005026882
7/19/2020,0,,0,0,0,0,80,0.005026882
7/20/2020,0,,0,0,0,0,80,0.005026882
7/21/2020,0,,0,0,0,0,80,0.005026882
7/22/2020,0,,0,0,0,0,80,0.005026882
7/23/2020,0,,0,0,0,0,80,0.005026882
7/24/2020,0,,1,1,0,0,80,0.005026882
7/25/2020,0,,1,1,0,0,80,0.005026882
7/26/2020,0,,0,1,0,0,80,0.005026882
7/27/2020,0,,0,0,0,0,80,0.005026882
7/28/2020,0,,0,0,0,0,80,0.005026882
7/29/2020,0,,0,0,0,0,80,0.005026882
7/30/2020,0,,0,0,0,0,80,0.005026882
7/31/2020,0,,1,0,0,0,80,0.005026882
8/1/2020,0,,1,0,0,0,80,0.005026882
8/2/2020,0,,1,0,0,0,80,0.005026882
8/3/2020,0,,1,0,0,0,80,0.005026882
8/4/2020,0,,1,0,0,0,80,0.005026882
8/5/2020,0,,0,1,0,0,80,0.005026882
8/6/2020,0,,0,1,0,0,80,0.005026882
8/7/2020,0,,0,1,0,0,80,0.005026882
8/8/2020,0,,0,0,0,0,80,0.005026882
8/9/2020,0,,0,0,0,0,80,0.005026882
8/10/2020,0,,0,0,0,0,80,0.005026882
8/11/2020,0,,0,0,0,0,80,0.005026882
8/12/2020,0,,0,0,0,0,80,0.005026882
8/13/2020,0,,0,0,0,0,80,0.005026882
8/14/2020,0,,0,0,0,0,80,0.005026882
8/15/2020,0,,0,0,0,0,80,0.005026882
8/16/2020,0,,0,0,0,0,80,0.005026882
8/17/2020,0,,0,0,0,0,80,0.005026882
8/18/2020,0,,0,0,0,0,80,0.005026882
8/19/2020,0,,0,0,0,0,80,0.005026882
8/20/2020,0,,0,0,0,0,80,0.005026882
8/21/2020,0,,0,0,0,0,80,0.005026882
8/22/2020,0,,0,0,0,0,80,0.005026882
8/23/2020,0,,0,0,0,0,80,0.005026882
8/24/2020,0,,0,0,0,0,80,0.005026882
8/25/2020,0,,0,0,0,0,80,0.005026882
8/26/2020,0,,0,0,0,0,80,0.005026882
8/27/2020,0,,0,0,0,0,80,0.005026882
8/28/2020,0,,0,0,0,0,80,0.005026882
8/29/2020,0,,0,0,0,0,80,0.005026882
8/30/2020,0,,0,0,0,0,80,0.005026882
8/31/2020,0,,0,0,0,0,80,0.005026882
