"from_station_id","count...","cust_v_subs","station_name","total_docks","longitude","latitude"
303,12264,0,"Broadway & Cornelia Ave",23,-87.646439,41.945529
313,14483,0,"Lakeview Ave & Fullerton Pkwy",19,-87.638973,41.925858
320,13228,0,"Loomis St & Lexington St",19,-87.661501,41.872187
321,12607,0,"Wabash Ave & 9th St",19,-87.625734,41.870769
331,15782,0,"Halsted St & Clybourn Ave",27,-87.648128,41.909668
334,13467,0,"Lake Shore Dr & Belmont Ave",19,-87.639192,41.940775
340,15503,0,"Clark St & Wrightwood Ave",15,-87.643118,41.929546
341,16735,2,"Adler Planetarium",39,-87.607267,41.866095
344,15123,0,"Ravenswood Ave & Lawrence Ave",47,-87.674237,41.96909
623,14794,1,"Michigan Ave & 8th St",43,-87.623981,41.872773
638,20904,0,"Clinton St & Jackson Blvd",23,-87.639838457,41.87811603
